transaction_id,product_id,product_name,category,quantity,unit_price,discount_amount,subtotal
TXN-2a331249,3,The Soon No,Books,1,41.42,6.21,35.21
TXN-2a331249,128,Pro Apparel Equipment,Sports,3,266.15,0.0,798.45
TXN-7d04be35,144,Designer Accessrories Collection,Clothing,1,294.53,29.45,265.08
TXN-7d04be35,78,Polarized uniform solution,Books,4,36.94,0.0,147.76
TXN-7d04be35,141,Monitored maximized Local Area Network,Books,1,37.33,0.0,37.33
TXN-7d04be35,44,Organic Snacks,Food & Beverage,2,78.51,0.0,157.02
TXN-7d04be35,28,Organic Pantry,Food & Beverage,5,3.76,1.88,16.92
TXN-7d04be35,187,Fitness Champion,Sports,1,100.54,10.05,90.49
TXN-7d04be35,117,Gold Furniture,Home & Garden,2,346.37,103.91,588.83
TXN-7d04be35,9,Equipment Champion,Sports,5,443.49,110.87,2106.58
TXN-7d04be35,13,Organic Beverages,Food & Beverage,2,52.25,5.23,99.27
TXN-25cdfac5,11,Pro Apparel Kit,Sports,4,41.13,0.0,164.52
TXN-25cdfac5,71,The Writer Voice,Books,3,34.14,0.0,102.42
TXN-25cdfac5,127,Proactive explicit strategy,Books,2,48.1,19.24,76.96
TXN-62482df7,160,PaleTurquoise Lighting,Home & Garden,3,809.55,242.86,2185.79
TXN-62482df7,74,CadetBlue Decor,Home & Garden,3,1495.48,897.29,3589.15
TXN-62482df7,157,Luxury Fragrances,Beauty,1,109.88,16.48,93.4
TXN-62482df7,156,Fitness Champion,Sports,4,186.84,74.74,672.62
TXN-62482df7,8,Mccarthy Inc Snacks Mix,Food & Beverage,1,25.22,1.26,23.96
TXN-62482df7,188,Modern Kitchen Set,Home & Garden,1,882.04,88.2,793.84
TXN-be693a7f,197,Organic Snacks,Food & Beverage,5,97.91,0.0,489.55
TXN-be693a7f,94,Black Kitchen,Home & Garden,1,1126.27,0.0,1126.27
TXN-be693a7f,135,The Reveal No,Books,2,25.78,10.31,41.25
TXN-be693a7f,184,Luxury Haircare,Beauty,3,176.58,0.0,529.74
